



Watchman  n. Man employed to look after an empty building etc. At night.
Toilet  n. 1 = *lavatory. 2 process of washing oneself, dressing, etc. (at one's toilet). [french toilette diminutive of toile cloth]
Calamine  n. Powdered form of zinc carbonate and ferric oxide used as a skin lotion. [french from latin]
Graminivorous  adj. Feeding on grass, cereals, etc.

Paraffin wax  n. Paraffin in its solid form.

Brad  n. Thin flat nail with a head on only one side. [old norse]


Skunk  n. (pl. Same or -s) 1 black and white striped mammal emitting a powerful stench when attacked. 2 colloq. Contemptible person. [american indian]



Present1  —adj. 1 (usu. Predic.) Being in the place in question. 2 a now existing, occurring, or being such. B now being considered etc. (in the present case). 3 gram. Expressing an action etc. Now going on or habitually performed (present participle). —n. (prec. By the) 1 the time now passing (no time like the present). 2 gram. Present tense.  at present now. By these presents law by this document. For the present just now; for the time being. [latin praesens -ent-]


Loggerhead  n.  at loggerheads (often foll. By with) disagreeing or disputing. [probably dial. From logger wooden block]
Ploughman's lunch  n. Meal of bread and cheese with pickle and salad.


Rose1  —n. 1 prickly bush or shrub bearing usu. Fragrant red, pink, yellow, or white flowers. 2 this flower. 3 flowering plant resembling this (christmas rose). 4 a pinkish-red colour. B (usu. In pl.) Rosy complexion (roses in her cheeks). 5 sprinkling-nozzle of a watering-can etc. 6 circular electric light mounting on a ceiling. 7 a representation of a rose in heraldry etc. B rose-shaped design. 8 (in pl.) Used to express luck, ease, success, etc. (roses all the way; everything's roses). —adj. = *rose-coloured 1. [latin rosa]




Horsefly  n. Any of various biting insects troublesome esp. To horses.


Personal property  n. Law all one's property except land and those interests in land that pass to one's heirs.
Delusion  n. 1 false belief, hope, etc. 2 hallucination.  delusive adj. Delusory adj. [related to *delude]

Air chief marshal  n. Raf officer of high rank, above air marshal.



Diarist  n. Person who keeps a diary.

Separate  —adj. Forming a unit by itself, existing apart; disconnected, distinct, or individual. —n. (in pl.) Trousers, skirts, etc. That are not parts of suits. —v. (-ting) 1 make separate, sever. 2 prevent union or contact of. 3 go different ways. 4 (esp. As separated adj.) Cease to live with one's spouse. 5 (foll. By from) secede. 6 a divide or sort into parts or sizes. B (often foll. By out) extract or remove (an ingredient etc.).  separately adv. Separateness n. [latin separo (v.)]
Force1  —n. 1 power; strength, impetus; intense effort. 2 coercion, compulsion. 3 a military strength. B organized body of soldiers, police, etc. 4 a moral, intellectual, or legal power, influence, or validity. B person etc. With such power (force for good). 5 effect; precise significance. 6 a influence tending to cause a change in the motion of a body. B intensity of this. —v. (-cing) 1 compel or coerce (a person) by force. 2 make a forcible entry into; break open by force. 3 drive or propel violently or against resistance. 4 make (a way) by force. 5 (foll. By on, upon) impose or press on (a person). 6 cause, produce, or attain by effort (forced a smile; forced an entry). 7 strain or increase to the utmost. 8 artificially hasten the growth of (a plant). 9 seek quick results from; accelerate (force the pace).  force a person's hand make a person act prematurely or unwillingly. Force the issue make an immediate decision necessary. In force 1 valid (laws now in force). 2 in great strength or numbers (attacked in force). [latin fortis strong]

Coaming  n. Raised border round a ship's hatches etc. To keep out water. [origin unknown]
Deponent  —adj. (of esp. A latin or greek verb) passive in form but active in meaning. —n. 1 deponent verb. 2 person making deposition under oath. [latin depono put down, lay aside]
Banksia  n. Australian evergreen flowering shrub. [banks, name of a naturalist]
Quaternary  —adj. 1 having four parts. 2 (quaternary) geol. Of the most recent period in the cenozoic era. —n. (quaternary) geol. This period. [latin quaterni four each]
Ad nauseam  adv. Excessively; disgustingly. [latin, = to sickness]

Inboard  —adv. Within the sides or towards the centre of a ship, aircraft, or vehicle. —adj. Situated inboard.
Tight  —adj. 1 closely held, drawn, fastened, fitting, etc. (tight hold; tight skirt). 2 too closely fitting. 3 impermeable, impervious, esp. (in comb.) To a specified thing (watertight). 4 tense; stretched. 5 colloq. Drunk. 6 colloq. Stingy. 7 (of money or materials) not easily obtainable. 8 a (of precautions, a programme, etc.) Stringent, demanding. B presenting difficulties (tight situation). 9 produced by or requiring great exertion or pressure (tight squeeze). —adv. Tightly (hold tight!).  tightly adv. Tightness n. [old norse]
Yahoo  n. Bestial person. [name of a race of brutes in gulliver's travels]



Stocking-stitch  n. Alternate rows of plain and purl.
Vagary  n. (pl. -ies) caprice, whim. [latin vagor wander]






Amplify  v. (-ies, -ied) 1 increase the strength of (sound, electrical signals, etc.). 2 add detail to, expand (a story etc.).  amplification n. [latin: related to *ample]
Concatenation  n. Series of linked things or events. [latin catena chain]
Record-holder  n. Person who holds a record.
Calisthenics  var. Of *callisthenics.

Cuppa  n. Colloq. 1 cup of. 2 cup of tea. [corruption]
Diamanté  adj. Decorated with synthetic diamonds or another sparkling substance. [french diamant diamond]

Heinous  adj. Utterly odious or wicked. [french haïr hate]





Peep2  —v. Make a shrill feeble sound as of young birds, mice, etc. —n. 1 such a sound. 2 slight sound, utterance, or complaint (not a peep out of them). [imitative]
Fledge  v. (-ging) 1 provide or deck (an arrow etc.) With feathers. 2 bring up (a young bird) until it can fly. 3 (as fledged adj.) A able to fly. B independent; mature. [obsolete adj. Fledge fit to fly]
Burn2  n. Scot. Brook. [old english]

Tote2  v. (-ting) esp. Us colloq. Carry, convey (toting a gun). [originally us, probably of dial. Origin]
Ulsterman  n. (fem. Ulsterwoman) native of ulster.
Mathematics  n.pl. 1 (also treated as sing.) Abstract science of number, quantity, and space. 2 (as pl.) Use of this in calculation etc.  mathematician n. [greek manthano learn]


Trug  n. Shallow oblong garden-basket usu. Of wood strips. [perhaps a dial. Var. Of *trough]



Self-preservation  n. 1 keeping oneself safe. 2 instinct for this.
Cooler  n. 1 vessel in which a thing is cooled. 2 us refrigerator. 3 slang prison cell.

Sputnik  n. Russian artificial satellite orbiting the earth. [russian]
Minibus  n. Small bus for about twelve passengers.
Freak  —n. 1 (often attrib.) Monstrosity; abnormal person or thing (freak storm). 2 colloq. A unconventional person. B fanatic of a specified kind (health freak). C drug addict. —v. (often foll. By out) colloq. 1 become or make very angry. 2 (cause to) undergo hallucinations etc., esp. As a result of drug abuse. 3 adopt an unconventional lifestyle.  freakish adj. Freaky adj. (-ier, -iest). [probably from dial.]
Well-groomed  adj. With carefully tended hair, clothes, etc.

Giro  —n. (pl. -s) 1 system of credit transfer between banks, post offices, etc. 2 cheque or payment by giro. —v. (-es, -ed) pay by giro. [german from italian]

Sheep  n. (pl. Same) 1 mammal with a thick woolly coat, esp. Kept for its wool or meat. 2 timid, silly, or easily-led person. 3 (usu. In pl.) Member of a minister's congregation. [old english]
Footing  n. 1 foothold; secure position (lost his footing). 2 operational basis. 3 relative position or status (on an equal footing). 4 (often in pl.) Foundations of a wall.
Omniscient  adj. Knowing everything or much.  omniscience n. [latin scio know]
Partner  —n. 1 person who shares or takes part with another or others, esp. In a business. 2 companion in dancing. 3 player (esp. One of two) on the same side in a game. 4 either member of a married or unmarried couple. —v. Be the partner of. [alteration of parcener joint heir]
Aromatherapy  n. Use of plant extracts and oils in massage.  aromatherapist n.
Overplay  v. Give undue importance to; overemphasize.  overplay one's hand act on an unduly optimistic estimation of one's chances.
Urology  n. The study of the urinary system.  urological adj.


Sainfoin  n. Pink-flowered fodder-plant. [latin sanctus holy, foenum hay]



Climate  n. 1 prevailing weather conditions of an area. 2 region with particular weather conditions. 3 prevailing trend of opinion or feeling.  climatic adj. Climatically adv. [greek klima]
Jetty  n. (pl. -ies) 1 pier or breakwater to protect or defend a harbour, coast, etc. 2 landing-pier. [french jetee: related to *jet1]




Bioengineering  n. 1 the application of engineering techniques to biological processes. 2 the use of artificial tissues, organs, etc. To replace parts of the body, e.g. Artificial limbs, pacemakers, etc.
Harsh  adj. 1 unpleasantly rough or sharp, esp. To the senses. 2 severe, cruel.  harshen v. Harshly adv. Harshness n. [low german]
Kgb  n. State security police of the former ussr. [russian abbreviation, = committee of state security]

Laud  —v. Praise or extol. —n. 1 praise; hymn of praise. 2 (in pl.) The first morning prayer of the roman catholic church. [latin laus laud-]



Glassware  n. Articles made of glass.

Vermicelli  n. 1 pasta in long slender threads. 2 shreds of chocolate as cake decoration etc. [latin vermis worm]
Undecided  adj. 1 not settled. 2 irresolute.
Vamp1  —n. Upper front part of a boot or shoe. —v. 1 (often foll. By up) repair or furbish. 2 (foll. By up) make by patching or from odds and ends. 3 improvise a musical accompaniment. [french avantpié front of the foot]
Tideway  n. Tidal part of a river.




Disclaimer  n. Renunciation; statement disclaiming something.

Robinia  n. Any of various n. American trees or shrubs, e.g. A locust tree or false acacia. [robin, name of a french gardener]






Hades  n. (in greek mythology) the underworld. [greek, originally a name of pluto]
Fructose  n. Sugar in honey, fruits, etc. [latin: related to *fruit]
Dumdum  n. (in full dumdum bullet) soft-nosed bullet that expands on impact. [dum-dum in india]

Gibbous  adj. 1 convex. 2 (of a moon or planet) having the bright part greater than a semicircle and less than a circle. 3 humpbacked. [latin gibbus hump]
Needle  —n. 1 a very thin pointed rod of smooth steel etc. With a slit (‘eye’) for thread at the blunt end, used in sewing. B larger plastic, wooden, etc. Slender rod without an eye, used in knitting etc. 2 pointer on a dial. 3 any of several small thin pointed instruments, esp.: a the end of a hypodermic syringe. B = *stylus 1. 4 a obelisk (cleopatra's needle). B pointed rock or peak. 5 leaf of a fir or pine tree. 6 (the needle) slang fit of bad temper or nervousness. —v. (-ling) colloq. Irritate; provoke. [old english]

Proximate  adj. 1 nearest or next before or after (in place, order, time, causation, thought process, etc.). 2 approximate. [latin proximus nearest]



Scenery  n. 1 natural features of a landscape, esp. When picturesque. 2 painted backcloths, props, etc., used as the background in a play etc. [italian: related to *scenario]

Medal  n. Commemorative metal disc etc., esp. Awarded for military or sporting prowess. [latin: related to *metal]
Autarchy  n. Absolute rule; despotism. [greek autos self, arkhe rule]
Fail-safe  adj. Reverting to a safe condition when faulty etc.

White magic  n. Magic used for beneficent purposes.


Fritter1  v. (usu. Foll. By away) waste (money, time, etc.) Triflingly. [obsolete fritter(s) fragments]
Umpire  —n. Person enforcing rules and settling disputes in esp. Cricket or between disputants. —v. (-ring) (often foll. By for, in, etc.) Act as umpire (in). [french nonper not equal: related to *peer2]
Looker-on  n. (pl. Lookers-on) spectator.

Cotton  n. 1 soft white fibrous substance covering the seeds of certain plants. 2 such a plant. 3 thread or cloth from this.  cotton on (often foll. By to) colloq. Begin to understand. [french from arabic]
Trichromatic  adj. 1 having or using three colours. 2 (of vision) having the normal three colour-sensations, i.e. Red, green, and purple.
