healthy food;tofu
source of magic dust;wand
insurrectionist;rebel
et carrier;ufo
where some buns are made;salon
pitched;threw
japanese milk producer makes shake;judder
detective;lead
brit medal;dso
bygone magistrate;doge
trickster gets financial penalty intended to avoid a period in jail;confinement
play;hamlet
fight site;arena
flexible pipe;hose
back scrubber;loofah
exhibition riding;dressage
ineffective person about to be involved in lightweight uprising;zero
probable;likely
like some dummies;wooden
vote for a member of the;cover
installed in home i settled;paid
challenge for a bowler;split
small hill;knoll
houston after whom the te;sam
methodical;neat
lead;clue
of service;usable
bloody so to speak;rare
primitive abode;hut
wordless ouch;groan
financial fig;apr
fruit whose seeds are spi;melon
drink for days in prison just enough to function;quorum
soak up;learn
on an even keel;steady
smoke detector;nose
like ghostwriters;unnamed
halloweenish;eerie
tach measure for short;rpm
its handed down from gen;lore
fracture fixer;cast
bluebottle caught with a little work;cop
summer topper;panama
unchanged;same
disrepute and then some;odium
autobiographical scribblings of arachne in sea at st tropez;memoir
pop the question;ask
nursery supply;loam
result of venting;lava
group of lions;pride
recess;niche
nullify;undo
one way to run;amuck
spiteful;malicious
the feminine side;yin
wing;side
screening;mesh
small branch;sprig
complain;fuss
penultimate fairytale wo;ever
farm sound;bleat
creaky;stiff
something to believe in;ism
illconsidered;asinine
polynomial components;terms
photographers equipment;strobe
utopian;ideal
mostly pink but blackhearted creature;cobra
pool or carpool concern;lane
michael stipes band;rem
like some lines;dotted
rapid abstain from food;fast
dawned;arose
cook so as to lock in the;sear
heavyweight champion of t;title
histrionics;drama
channel with attitude;side
make out contract;catch
guatemala natives;maya
cough up;ante
a or b on a record;side
butterfly eg;stroke
knack;way
hiram walker for one;distiller
matrix;array
transgression;sin
frigate part;keel
sought office;ran
instrument collector wraps one up;cello
excursion;outing
hemispherical roof;dome
bell curve peak;norm
bar fare;salad
proceed slowly;plod
medium for a medical samp;swab
advance showing;preview
command on a submarine;dive
rationalization;excuse
urban railway system;metro
hard to watch;ugly
erstwhile;once
string;twine
large fruit;melon
high point;apogee
part of the leg;tibia
fleshy fruit colour;peach
bomb squad worker;robot
longtime lorillard brand;kent
ecuador and venezuela are;opec
fraud;sham
high school elective;art
puffball emanation;spore
beard;dare
puffy hat wearer;baker
little bit;iota
one who doesnt chew the;sprat
spout;opine
way for the wind to blow;sse
youll find 12 in this ultimately detailed;atlas
taking a break from work;idle
watermelon part;rind
giraffes cousin;okapi
filmgoers purchase;popcorn
in its entirety;totally
rem researchers tool;eeg
leaves in hot water;tea
place of worship;chapel
letters that lack stamps;email
nothing girl put in hollow hides smell;deodorant
ratification;assent
not just;unfair
uniform shade;olive
hellenic character;eta
scott joplins genre;ragtime
like some forces;naval
make meek in a way;shame
coveted award;nobel
chart holder;easel
voided;undid
spinnaker eg;sail
angry look;glare
following proper procedure;duly
grp with its hq in bruss;nato
dry wash;wadi
one of a migrating herd;gnu
in turmoil;upset
granola bar bit;oat
do lunch;eat
doctor pursues hygiene issue maybe mine;bomb
tail maybe;spy
lees;sediment
navy bean alternative;lentil
group of soldiers blocked by a christian from eastern church;uniat
bridge;crossover
one who keeps things from;fireman
statistical bit;ratio
old greeting;ave
prior to in poesy;ere
dare;risk
merry;festive
shutout teams score;nil
thumbsup vote;yea
trophy;cup
what nomads do;roam
item handed over a century after the onset of battle;baton
addiction;habit
of a son or daughter;filial
maybe 9 section acting as flipping emergency room;square
small toad;natterjack
on e;empty
garment under a doublet;waistcoat
site of many a protest;embassy
police operation;sting
tv spy series starring je;alias
homecoming attendee in b;alum
lap dog;pug
this clue and why they say it could go with 14;ivy
argumentative;polemic
the euro replaced it;peseta
old school item;slate
st basils dome shape;onion
sense group rowing will accept agreement;eyesight
act human;err
it can provide a big jolt;megawatt
gallicos mrs;arris
scolding eg;abuse
usual limitations to treaty one concluded in china;typical
lacking couth;crass
business starts to manage major utility needing aid later used by all;communal
register as a student;enrol
mall unit;store
wine tasters concern;year
art;cunning
most thirsty;driest
period in prison;stretch
its done in the form of;minuet
polish poet mickiewicz;adam
longeared animal;ass
gunk;sludge
org in the 1982 film en;cia
promise to orbit large planet;world
epigrammatic tale;fable
exterminators option;poison
churchs percentage;tithe
swindler;thief
record;enter
soso;fair
barebones;austere
sin;stray
sound;seem
mango alternative;papaya
popular toyota;corolla
bill tackon;rider
area of expertise;line
diminutive in dundee;hod
attempt to sell a thing;tout
hearty dinner;stew
kind of farmer;tenant
safety device;net
illuminate not heavy;light
copter part;rotor
a bobbsey twin;nan
pre1991 atlas abbr;ussr
boorish;crude
towns announcer;crier
fully absorbed;rapt
home to a muon or pion;atom
where the current enters;anode
drawer site;desk
peddle;sell
form of silica;opal
group of concurrent symptoms;syndrome
land;acreage
contest convenient say and better;handicap
capitol construction;rotunda
where subterranean passages may be in process of construction;under way
pronoun;she
lofty tribute;ode
plumbers filler;oakum
like fireplace grates;ashy
probe into;delve
faith without a person;infidel
collection sites of a so;eaves
bad mark on ones reputat;blot
lincoln while in congress;whig
provision of the natl se;cia
not funny anymore;old
melodramatic response in;sob
button on a remote;mute
declaration allowing no opposition;diktat
desire deeply;crave
poke fun at;tease
baseballs maglie;sal
kind of project;pet
cyberjunk;spam
conger for one;eel
with it;sharp
resin shortage not ending;lac
like some airport luggage;unclaimed
muchpublicized drug;azt
boost;augment
that miss;she
what beachcomber found washed up did for two;driftwood
hang around with;pal
rod;piece
name in old german duchie;saxe
pitch;spiel
like the proverbial beave;busy
witty wilde;oscar
unisex wear;caftan
passionate;ardent
stow as cargo  or an;lade
a chip or two to start wi;ante
arrival at home with illness by ten;influx
cybermessages;email
dog teams burden;sled
omaha home;teepee
period ending january 6;noel
crack;aperture
interstice;gap
off ones trolley;bats
sound content to reverse some of the corruption;purr
part of ohms;her
leave with off;shove
bricklike;baked
teen spots;acne
cuff;swat
sort of;rather
defeat decisively;stomp
like most nba stars;tall
alliance since 49;nato
gate;revenue
the way things go;traffic
term of address in a mona;dom
bestselling author brown;dan
cocky look;sneer
piece in newspaper covering steptoe  son;fragment
look  sloth runs;air
bad stuff to microwave;metal
chant at a basketball gam;defense
go out with;along
dentists order;open
fidos rope;leash
ne plus;ultra
flap in the fashion indus;lapel
assay;examine
heavy durable furniture;walnut
couple;pair
pale yellow a primula;primrose
make known;announce
pro foe;anti
beer barrel;keg
reading of 986;normal
go sour;turn
journal jotting;entry
finetune;hone
finest example;epitome
thicket;chaparral
clawer;cat
be mistaken;err
red sky in the morning e;omen
layered building material;plywood
hymnal word;amen
instruction part;step
convict fashionable couple;inmate
lowly soldier;grunt
place for a dumpster;alley
in any other way;else
arista or motown;label
oldtime trouper;minstrel
prime time hour;nine
fly in the ointment;snag
plain unsophisticated;homespun
mechanical twisting;torsion
indigent;needy
greek character;rho
library catalogue heading;title
meteor shower;planetarium
inflatable item maybe;raft
habiliments;dress
invitation abbr;rsvp
moreover;else
authenticate each plan;idea
crys partner;hue
present gripping work on leader of postal strike;stoppage
gambol;frolic
loch lomond local;scot
indigestion;dyspepsia
spill the beans;blab
scena segment;aria
hand protector;mitt
left holding aid for driver turning tip of plane;treetop
kind of microscope;electron
yule garland;wreath
traditional north american fighting axe;tomahawk
spilled salt say;omen
camera attachment inform;zoom
hard rightwinger supporting ones record;history
nada;nil
like tears;salty
labs  dish;petri
purple willow eg;osier
evenhanded;fair
american detective thriller writer d 1959;chandler
discontinue for now;suspend
trudge;slog
was able to;could
its perfect;ten
bait;tease
iranian bread;dinar
brew;suds
shout made with a raised;taxi
almost any element whose;metal
not sure;risky
person whose name begins;scot
weave in and out;snake
cadence;lilt
serengeti scavenger;hyena
patriots day time;april
communion table;altar
old sailor;salty
coke for one;cola
gobetween;emissary
move heavily on wheels;trundle
insult;slur
religious girl originally heading for medjugorje;pilgrim
taj mahal attire;sari
quite a while;eon
bitmap bit;pixel
bowlshaped cooking aid;wok
security council veto;non
sensible;judicious
catsup catcher;tie
letters on screens;email
very young child born in creek;baby
hush money;bribe
liquate;melt
filth;smut
swimmers stopper;earplug
missouri or delaware;river
bonkers;insane
frank option;onion
clan symbol;totem
unseat;depose
whatsis;item
noncompromiser;purist
upfront money;ante
christian festival;easter
have a sudden inspiration;gasp
sofa type;settee
extreme;fringe
bakers supply;yeast
indication to leave somet;stet
put down in a way;enter
actor baldwin;adam
firebird;oriole
escapist reading;exodus
wahines offering;lei
clemson athlete;tiger
parachute part;cord
a mccoy to a hatfield;enemy
thats an order;doric
many an interstate;freeway
oats for horses say;feed
partner of effect;cause
like a later draft presu;cleaner
inkling;idea
ammonia has a strong one;odor
up and about in a prison;astir
clause added for a cyclist;rider
oysters kin;scallop
code unit;dot
bedazzle;stun
like some relationships;spatial
coral creation;atoll
charitable contributions;alms
swami;guru
bird getting round in sport;wheatear
fawns mothers;does
early spring flower;snowdrop
it might go for a dip in;oar
pacific arm;rim
stirfried entree;chopsuey
tanner;sun
day of;rest
bread source;job
zone;sector
relic;antique
rudely ignore;snub
language from which hash;arabic
camels stopping place;oasis
andys dinosaur in toy s;rex
duel item;pistol
artificial color;dye
early part of a race;primary
use ones bean;think
triple crown;tiara
sonora snooze;siesta
blutos dream girl;olive
shortcut perhaps;diagonal
deal maker;agent
flower;mature
slow musically;largo
leave destitute;ruin
rustic digs;cabin
caustic cleanser;lye
watch at a strip club ma;ogle
expose to flame;singe
lotion base;aloe
winery fixture;vat
beverage store buy;ice
upmarket;classy
pilot entering alaska via toronto;aviator
style arrangement;format
flighty sort;airman
sculpture eg;art
ages;aeon
buckskin source;elk
creditors demand;payment
entracte part;apostrophe
zoologists study;fauna
surveillance tool briefl;cam
up to speed;able
inebriated;lit
start of all oklahoma zip;seven
inanity;idiocy
harass;ride
large star system;galaxy
economical yard after the short argument;thrifty
change;affect
kind of bar;sushi
good thing;asset
come full circle;lap
greek s;sigma
loony;daft
murder mystery plot devic;twist
ingot;bar
call on a pitch;low
beta decay emission some;positron
champagne container;split
august  that isnt bitter on the contrary;regal
put off and rescheduled hosting day in paris;adjourn
set;rigid
using ones shirtsleeve a;coarse
heroic trait;valor
nonmusicians musical ins;kazoo
sweet sound;coo
dorys affliction in fin;amnesia
like highway traffic mark;conic
relating to letters early post sorted around one;epistolary
it has a horn and charges;taxi
make out;detect
attain success;rise
inspect;examine
